postalCode	placeName	adminName1	latitude	longitude
01250	Pouillat	Rhône-Alpes	46.3275	5.4282
01250	Montagnat	Rhône-Alpes	46.1705	5.2905
01250	Journans	Rhône-Alpes	46.1452	5.3277
01250	Ceyzériat	Rhône-Alpes	46.1801	5.3197
01250	Tossiat	Rhône-Alpes	46.1399	5.3114
01260	Bureau de Poste de Champagne En Valromey	Rhône-Alpes	45.9048	5.6784
01260	Brénaz	Rhône-Alpes	45.9482	5.7232
01260	Ruffieu	Rhône-Alpes	45.9934	5.6641
01260	Sutrieu	Rhône-Alpes	45.9512	5.6579
01260	Vieu	Rhône-Alpes	45.8983	5.6822
01260	Le Grand-Abergement	Rhône-Alpes	46.0338	5.6748
01260	Champagne-en-Valromey	Rhône-Alpes	45.9055	5.6768
01260	Songieu	Rhône-Alpes	45.9739	5.703
01260	Hotonnes	Rhône-Alpes	45.9982	5.697
01260	Belmont-Luthézieu	Rhône-Alpes	45.8802	5.661
01260	Le Petit-Abergement	Rhône-Alpes	46.0322	5.6632
01260	Lompnieu	Rhône-Alpes	45.9614	5.6602
01260	Lochieu	Rhône-Alpes	45.9303	5.7277
01260	Virieu-le-Petit	Rhône-Alpes	45.9089	5.7249
01270	Bureau de Poste de Coligny	Rhône-Alpes	46.3854	5.347
01270	Beaupont	Rhône-Alpes	46.41	5.2654
01270	Verjon	Rhône-Alpes	46.3467	5.3493
01270	Salavre	Rhône-Alpes	46.3641	5.3471
01270	Coligny	Rhône-Alpes	46.3825	5.3455
01270	Pirajoux	Rhône-Alpes	46.3699	5.2986
01270	Domsure	Rhône-Alpes	46.4187	5.2951
01270	Villemotier	Rhône-Alpes	46.3456	5.3203
01280	Bureau de Poste de Prevessin Cern	Rhône-Alpes	46.2565	6.0799
01280	Prévessin-Moëns	Rhône-Alpes	46.2539	6.0817
01280	Bureau de Poste de Prevessin Moens	Rhône-Alpes	46.2529	6.0765
01290	Saint-André-d'Huiriat	Rhône-Alpes	46.2137	4.9119
01290	Crottet	Rhône-Alpes	46.2778	4.8925
01290	Saint-Jean-sur-Veyle	Rhône-Alpes	46.2588	4.9175
01290	Bureau de Poste de Pont De Veyle	Rhône-Alpes	46.2638	4.8868
01290	Biziat	Rhône-Alpes	46.217	4.9437
01290	Bey	Rhône-Alpes	46.2129	4.8504
01290	Pont-de-Veyle	Rhône-Alpes	46.2625	4.8872
01290	Laiz	Rhône-Alpes	46.2476	4.892
01290	Cormoranche-sur-Saône	Rhône-Alpes	46.2405	4.8317
01290	Cruzilles-lès-Mépillat	Rhône-Alpes	46.2243	4.879
01290	Grièges	Rhône-Alpes	46.2558	4.8513
01300	Bureau de Poste de Bregnier Cordon	Rhône-Alpes	45.6479	5.6196
01300	Saint-Benoît	Rhône-Alpes	45.6962	5.5853
01300	Bureau de Poste de Belley	Rhône-Alpes	45.7608	5.6879
01300	Arbignieu	Rhône-Alpes	45.7288	5.6503
01300	Nattages	Rhône-Alpes	45.7301	5.7636
01300	Contrevoz	Rhône-Alpes	45.8058	5.6284
01300	Prémeyzel	Rhône-Alpes	45.6844	5.6472
01300	Brégnier-Cordon	Rhône-Alpes	45.6474	5.6215
01300	Parves	Rhône-Alpes	45.7429	5.7428
01300	Peyrieu	Rhône-Alpes	45.6753	5.6787
01300	Murs-et-Gélignieux	Rhône-Alpes	45.6406	5.6625
01300	Saint-Bois	Rhône-Alpes	45.7009	5.6412
01300	Magnieu	Rhône-Alpes	45.7765	5.7196
01300	Colomieu	Rhône-Alpes	45.733	5.6207
01300	Cuzieu	Rhône-Alpes	45.8171	5.6839
01300	Conzieu	Rhône-Alpes	45.7276	5.6083
01300	Belley	Rhône-Alpes	45.7667	5.6833
01300	Andert-et-Condon	Rhône-Alpes	45.7944	5.6557
01300	Saint-Germain-les-Paroisses	Rhône-Alpes	45.7736	5.6191
01300	Ambléon	Rhône-Alpes	45.7494	5.6009
01300	Saint-Champ	Rhône-Alpes	45.7833	5.7333
01300	Marignieu	Rhône-Alpes	45.7972	5.7209
01300	Massignieu-de-Rives	Rhône-Alpes	45.756	5.7633
01300	Chazey-Bons	Rhône-Alpes	45.804	5.6824
01300	Izieu	Rhône-Alpes	45.6537	5.644
01300	Virignin	Rhône-Alpes	45.7166	5.712
01300	Brens	Rhône-Alpes	45.7187	5.6962
01310	Montcet	Rhône-Alpes	46.2119	5.1116
01310	Bureau de Poste de Polliat	Rhône-Alpes	46.2475	5.1261
01310	Saint-Martin-le-Châtel	Rhône-Alpes	46.2815	5.1162
01310	Curtafond	Rhône-Alpes	46.2712	5.0886
01310	Montracol	Rhône-Alpes	46.1975	5.1215
01310	Saint-Rémy	Rhône-Alpes	46.1893	5.1648
01310	Confrançon	Rhône-Alpes	46.2666	5.0658
01310	Polliat	Rhône-Alpes	46.2485	5.1266
01310	Buellas	Rhône-Alpes	46.2111	5.1322
01320	Bureau de Poste de Chalamont	Rhône-Alpes	45.9953	5.1696
01320	Chalamont	Rhône-Alpes	45.9966	5.1701
01320	Villette-sur-Ain	Rhône-Alpes	45.9833	5.2667
01320	Châtenay	Rhône-Alpes	46.0338	5.2001
01320	Saint-Nizier-le-Désert	Rhône-Alpes	46.0577	5.1475
01320	Crans	Rhône-Alpes	45.9617	5.2136
01320	Châtillon-la-Palud	Rhône-Alpes	45.9747	5.248
01330	Bureau de Poste de Villars Les Dombes	Rhône-Alpes	46.0013	5.0295
01330	Lapeyrouse	Rhône-Alpes	45.983	4.9758
01330	Bureau de Poste de Amberieu En Dombes	Rhône-Alpes	45.9964	4.9034
01330	Le Plantay	Rhône-Alpes	46.0216	5.0895
01330	Bouligneux	Rhône-Alpes	46.0219	4.9912
01330	Sainte-Olive	Rhône-Alpes	46.0194	4.9289
01330	Villars-les-Dombes	Rhône-Alpes	46.0023	5.029
01330	Versailleux	Rhône-Alpes	45.9806	5.1028
01330	Birieux	Rhône-Alpes	45.9529	5.0399
01330	Ambérieux-en-Dombes	Rhône-Alpes	45.9943	4.9051
01340	Bureau de Poste de Montrevel En Bresse	Rhône-Alpes	46.3376	5.1289
01340	Marsonnas	Rhône-Alpes	46.3408	5.0712
01340	Bureau de Poste de Attignat	Rhône-Alpes	46.2896	5.1595
01340	Montrevel-en-Bresse	Rhône-Alpes	46.3366	5.1234
01340	Bureau de Poste de Foissiat	Rhône-Alpes	46.3713	5.177
01340	Étrez	Rhône-Alpes	46.3341	5.1863
01340	Foissiat	Rhône-Alpes	46.3701	5.1757
01340	Attignat	Rhône-Alpes	46.2882	5.1613
01340	Malafretaz	Rhône-Alpes	46.3227	5.1397
01340	Cras-sur-Reyssouze	Rhône-Alpes	46.3054	5.1687
01340	Jayat	Rhône-Alpes	46.3705	5.119
